29170d29169
> "2019312941","2019312941230300","2303","0","theft-shoplift","larceny","5/19/2019 1:14:00 PM","","5/19/2019 2:16:00 PM","2848 N COLORADO BLVD","3157383","1701224","-104.94021870","39.75733420","2","221","north-park-hill","1","0"
> "2019308483","2019308483220300","2203","0","burglary-business-by-force","burglary","5/14/2019 3:30:00 AM","5/14/2019 4:20:00 AM","5/17/2019 11:01:00 AM","370 E 11TH AVE","3145500","1692432","-104.98266140","39.73339210","6","623","capitol-hill","1","0"
> "2019312159","2019312159521300","5213","0","weapon-unlawful-discharge-of","all-other-crimes","5/19/2019 1:06:00 AM","","5/19/2019 1:30:00 AM","3600 BLOCK N DAHLIA ST","3159842","1704963","-104.93138950","39.76755640","2","221","northeast-park-hill","1","0"
> "2019312110","2019312110359900","3599","0","drug-pcs-other-drug","drug-alcohol","5/19/2019 12:31:00 AM","","5/19/2019 2:28:00 AM","E 23RD AVE / N HIGH ST","3150511","1698773","-104.96471190","39.75071960","6","622","city-park-west","1","0"
> "20196004396","20196004396230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","5/18/2019 11:00:00 AM","5/18/2019 11:20:00 AM","5/18/2019 12:55:00 PM","N YOSEMITE WAY / E 4TH PL","3174115","1688017","-104.88102790","39.72078080","3","321","lowry-field","1","0"
> "2019308356","2019308356544100","5441","0","traffic-accident","traffic-accident","5/17/2019 9:56:00 AM","","5/17/2019 10:21:00 AM","W ALAMEDA AVE / S SANTA FE DR","3141472","1684323","-104.99714260","39.71119340","3","312","baker","0","1"
> "2019307064","2019307064230300","2303","0","theft-shoplift","larceny","5/16/2019 6:30:00 PM","","5/16/2019 6:30:00 PM","1701 WEWATTA ST","3140198","1700083","-105.00136340","39.75447680","6","612","union-station","1","0"
> "2019311601","2019311601531200","5312","0","disturbing-the-peace","public-disorder","5/18/2019 7:45:00 PM","","5/18/2019 8:14:00 PM","E COLFAX AVE / N CLARKSON ST","3146898","1694849","-104.97764130","39.74000520","6","623","capitol-hill","1","0"
> "2019311434","2019311434131300","1313","0","assault-simple","other-crimes-against-persons","5/18/2019 5:40:00 PM","","5/18/2019 7:00:00 PM","1400 BLK ARAPAHOE ST","3141234","1697005","-104.99773930","39.74601150","6","611","cbd","1","0"
> "2019309590","2019309590739902","7399","2","public-order-crimes-other","all-other-crimes","5/17/2019 7:00:00 PM","","5/17/2019 7:44:00 PM","4100 N KITTREDGE ST","3196482","1707421","-104.80098630","39.77360220","5","522","gateway-green-valley-ranch","1","0"
> "2019308004","2019308004299900","2999","0","criminal-mischief-other","public-disorder","5/17/2019 6:03:00 AM","","5/17/2019 8:48:00 AM","1000 CHOPPER CIR","3137671","1697315","-105.010404","39.74691590","1","123","auraria","1","0"
> "2019311806","2019311806299900","2999","0","criminal-mischief-other","public-disorder","5/18/2019 9:44:00 PM","","5/19/2019 3:30:00 AM","3117 W EXPOSITION AVE","3133209","1681754","-105.02656020","39.70426280","4","412","westwood","1","0"
> "2019313152","2019313152220400","2204","0","burglary-residence-no-force","burglary","5/19/2019 12:00:00 PM","5/19/2019 1:00:00 PM","5/19/2019 3:32:00 PM","2715 N QUITMAN ST","3129105","1700966","-105.04080090","39.75706140","1","121","sloan-lake","1","0"
> "2019313783","2019313783131501","1315","1","aggravated-assault-dv","aggravated-assault","5/19/2019 10:10:00 PM","","5/19/2019 10:37:00 PM","","3188778","1715474","-104.82818160","39.79586810","5","521","montbello","1","0"
> "2019313497","2019313497549900","5499","0","traf-other","all-other-crimes","5/19/2019 7:04:00 PM","","5/19/2019 9:26:00 PM","1200 BLOCK S FEDERAL BLVD","3133726","1678329","-105.02478640","39.694853","4","422","ruby-hill","1","0"
> "2019313078","2019313078549900","5499","0","traf-other","all-other-crimes","5/19/2019 2:31:00 PM","","5/19/2019 3:05:00 PM","4700 BLOCK N FEDERAL BLVD","3133512","1710182","-105.024955","39.78229850","1","111","sunnyside","1","0"
> "2019308070","2019308070220500","2205","0","burglary-business-no-force","burglary","5/16/2019 9:46:00 PM","5/16/2019 10:00:00 PM","5/17/2019 7:12:00 AM","3400 W 38TH AVE","3131317","1705407","-105.03285220","39.76922170","1","113","west-highland","1","0"
